id,name,stat,position,price
11802,Yerson Mosquera,64,CB,192
11803,Peter Clarke,64,CB,192
11804,Ronny König,64,ST,192
11805,Min Soo Kang,64,CB,192
11806,Thomas Gebauer,64,GK,192
11807,Joe Walsh,64,CB,192
11808,Adrian Scarlatache,64,CB,192
11809,Kenneth Vermeer,64,GK,192
11810,Paul Huntington,64,CB,192
11811,Mikkel Andersen,64,GK,192
11812,Michael Mancienne,64,CDM,192
11813,James Troisi,64,CAM,192
11814,Lee Tomlin,64,CAM,192
11815,Toumani Diagouraga,64,CDM,192
11816,Xiaoting Feng,64,CB,192
11817,Magnus Lekven,64,CM,192
11818,Harmeet Singh,64,CM,192
11819,David Worrall,64,RWB,192
11820,Joris Sainati,64,CB,192
11821,Nikolai Topor-Stanley,64,CB,192
11822,Shaun Williams,64,CDM,192
11823,Andrés Ríos,64,ST,192
11824,Erling Knudtzon,64,RWB,192
11825,Jérémy Huyghebaert,64,LB,192
11826,Jamie Jones,64,GK,192
11827,Alan Power,64,CM,192
11828,Rolf Feltscher,64,RB,192
11829,Dabao Yu,64,CB,192
11830,Jo Coppens,64,GK,192
11831,Ádám Bogdán,64,GK,192
11832,Adam Clayton,64,CDM,192
11833,Shea Salinas,64,LM,192
11834,Freddie Sears,64,ST,192
11835,Seámus Conneely,64,CDM,192
11836,Liridon Kalludra,64,CAM,192
11837,Alex MacDonald,64,LM,192
11838,Emanuel Schreiner,64,LB,192
11839,Christopher Telo,64,LWB,192
11840,Greg Taylor,64,CB,192
11841,Maic Sema,64,CF,192
11842,Tom Mickel,64,GK,192
11843,Stuart O'Keefe,64,CM,192
11844,Francesco Di Tacchio,64,CM,192
11845,Richard Tait,64,RWB,192
11846,Curtis Main,64,ST,192
11847,Robbin Ruiter,64,GK,192
11848,Paul Coutts,64,CDM,192
11849,David Cornell,64,GK,192
11850,Omar Gonzalez,64,CB,192
11851,Hiroshi Ibusuki,64,ST,192
11852,Marvin Pourié,64,ST,192
11853,Abdullah Al Zori,64,CB,192
11854,Soon Hyung Kwon,64,CM,192
11855,Hyun Yoo,64,GK,192
11856,Scott Neville,64,CB,192
11857,Hans Mulder,64,CB,192
11858,Ash Taylor,64,CB,192
11859,Ivan Martić,64,RB,192
11860,Will Grigg,64,ST,192
11861,Ashley Eastham,64,CB,192
11862,Omar Beckles,64,CB,192
11863,John Marquis,64,ST,192
11864,Edemir Rodríguez,64,CB,192
11865,Calum Butcher,64,CDM,192
11866,Collen Warner,64,CDM,192
11867,Petar Slišković,64,ST,192
11868,Jon Taylor,64,RW,192
11869,Alexander Faltsetas,64,CM,192
11870,Dan Peter Ulvestad,64,CB,192
11871,David Löfquist,64,CM,192
11872,David Meza Colli,64,CDM,192
11873,Gavin Massey,64,RM,192
11874,Harry Pell,64,CM,192
11875,Antoni Sarcevic,64,CM,192
11876,Jason Lowe,64,RB,192
11877,Ben Heneghan,64,CB,192
11878,Conor Thomas,64,CDM,192
11879,Kieron Freeman,64,RB,192
11880,Josh Morris,64,LM,192
11881,Ali Crawford,64,CM,192
11882,Christoph Hemlein,64,LM,192
11883,Ben Garratt,64,GK,192
11884,Vadaine Oliver,64,ST,192
11885,Elias Kachunga,64,RW,192
11886,Ethan Ebanks-Landell,64,CB,192
11887,Alexander Ruud Tveter,64,ST,192
11888,Perry Kitchen,64,CDM,192
11889,Kristoffer Haraldseid,64,RWB,192
11890,Alex Woodyard,64,CDM,192
11891,Richie Towell,64,CM,192
11892,Joakim Lindner,64,CB,192
11893,Rasmus Sjöstedt,64,CB,192
11894,Lee Burge,64,GK,192
11895,Yann Songo'o,64,CB,192
11896,Lloyd Isgrove,64,RW,192
11897,Eirik Ulland Andersen,64,RM,192
11898,Matt Smith,64,ST,192
11899,Cody Cropper,64,GK,192
11900,Dennis Kempe,64,LB,192
11901,Tom Nichols,64,ST,192
11902,Anass Achahbar,64,CAM,192
11903,Adam Jackson,64,CB,192
11904,Anthony O'Connor,64,CB,192
11905,Deji Oshilaja,64,CB,192
11906,Thomas Grøgaard,64,LB,192
11907,Mehdi Jeannin,64,GK,192
11908,Mikael Mandron,64,ST,192
11909,Jordan White,64,ST,192
11910,Ibou Touray,64,LB,192
11911,Nick Ansell,64,CB,192
11912,Jack Baldwin,64,CB,192
11913,Alexander Juel Andersen,64,CB,192
11914,Gwion Edwards,64,LM,192
11915,Víctor Mongil Adeva,64,CB,192
11916,Marcus Antonsson,64,ST,192
11917,Tom Hopper,64,ST,192
11918,Liviu Antal,64,RW,192
11919,Saša Balić,64,LB,192
11920,James Bolton,64,CB,192
11921,Tom Boere,64,ST,192
11922,Jakob Haugaard,64,GK,192
11923,Pierce Sweeney,64,CB,192
11924,Dom Dwyer,64,ST,192
11925,Wesley Jobello,64,RM,192
11926,Kent-Are Antonsen,64,CM,192
11927,Ioan Filip,64,CDM,192
11928,Fredrik Torsteinbø,64,CM,192
11929,Marco Armellino,64,CM,192
11930,Kieron Morris,64,RM,192
11931,Khalid Al Ghamdi,64,RB,192
11932,Tawfiq Bu Haymid,64,LB,192
11933,Awadh Khamis,64,LB,192
11934,Tom Anderson,64,CB,192
11935,Mateusz Matras,64,CB,192
11936,John O'Sullivan,64,RM,192
11937,Brendan Galloway,64,CB,192
11938,Orhan Ademi,64,ST,192
11939,Johannes Wurtz,64,CAM,192
11940,Mohammed Jahfali,64,CB,192
11941,Daniel Buballa,64,LB,192
11942,Lasse Nilsen,64,LWB,192
11943,Callum Paterson,64,ST,192
11944,Ali Al Zaqan,64,RM,192
11945,Abdullah Al Fahad,64,CB,192
11946,Sang Hoon Ma,64,CB,192
11947,Dario Del Fabro,64,CB,192
11948,Nawaf Al Subhi,64,CB,192
11949,Madallah Al Olayan,64,RB,192
11950,Michał Kopczyński,64,CDM,192
11951,Mark O'Hara,64,CM,192
11952,Philipp Riese,64,CDM,192
11953,James Donachie,64,CB,192
11954,Manfred Starke,64,ST,192
11955,Sandrino Braun,64,CB,192
11956,Seán Hoare,64,CB,192
11957,Ja Ryong Koo,64,CB,192
11958,Adrián Bone,64,GK,192
11959,Charles Vernam,64,LW,192
11960,Markus Lackner,64,CB,192
11961,Jeong Hyeop Lee,64,ST,192
11962,Scott Galloway,64,RB,192
