id,name,stat,position,price
1817,Vitinha,79,CM,316
1818,Mattia Perin,79,GK,316
1819,Anssumane Fati,79,LW,316
1820,Yeremy Pino,79,RM,316
1821,Páez Gavira,79,CM,316
1822,Camavinga,79,CM,316
1823,Orkun Kökçü,79,CM,316
1824,Dominik Szoboszlai,79,CAM,316
1825,Wesley Fofana,79,CB,316
1826,Gonçalo Inácio,79,CB,316
1827,Josip Brekalo,79,CF,316
1828,Jonny,79,LWB,316
1829,David Neres,79,RW,316
1830,Matheus Nunes,79,CM,316
1831,Adama Traoré,79,RW,316
1832,Davy Klaassen,79,CAM,316
1833,Owen Wijndal,79,LB,316
1834,Nordi Mukiele,79,RWB,316
1835,Arkadiusz Milik,79,ST,316
1836,Lucas Zelarayán,79,CAM,316
1837,Javier Hernández,79,ST,316
1838,Emanuel Reynoso,79,CAM,316
1839,Nicolás Lodeiro,79,CAM,316
1840,Ryan Gravenberch,79,CM,316
1841,Jérôme Boateng,79,CB,316
1842,Houssem Aouar,79,CAM,316
1843,Maxence Caqueret,79,CDM,316
1844,Pau López,79,GK,316
1845,Cengiz Ünder,79,RW,316
1846,Chancel Mbemba,79,CB,316
1847,Jordan Veretout,79,CDM,316
1848,Alexis Sánchez,79,CF,316
1849,Luuk de Jong,79,ST,316
1850,Justin Bijlow,79,GK,316
1851,Lars Stindl,79,CAM,316
1852,Julian Weigl,79,CM,316
1853,Luka Jovic,79,ST,316
1854,Yaroslav Rakitskyi,79,CB,316
1855,Michail Antonio,79,ST,316
1856,Daniel Wass,79,CM,316
1857,Abdoulaye Doucouré,79,CM,316
1858,Matheus Reis,79,CB,316
1859,Óscar Trejo,79,CAM,316
1860,Felipe Anderson,79,RW,316
1861,John McGinn,79,CM,316
1862,Ben Davies,79,CB,316
1863,Mattia Zaccagni,79,LW,316
1864,Salih Özcan,79,CDM,316
1865,Julian Draxler,79,LW,316
1866,Donny van de Beek,79,CM,316
1867,João Pedro,79,ST,316
1868,Conor Gallagher,79,CM,316
1869,Rodrigo Bentancur,79,CM,316
1870,Ezequiel Ávila,79,ST,316
1871,Nicolae Stanciu,79,CM,316
1872,Donyell Malen,79,ST,316
1873,Amine Gouiri,79,ST,316
1874,Erik Lamela,79,RW,316
1875,Ellyes Skhiri,79,CDM,316
1876,Luis Milla,79,CDM,316
1877,Pablo Fornals,79,CAM,316
1878,Benjamin André,79,CDM,316
1879,Samuel Umtiti,79,CB,316
1880,Ander Herrera,79,CM,316
1881,Tanguy Ndombele,79,CM,316
1882,Federico Bernardeschi,79,RM,316
1883,Youssouf Fofana,79,CDM,316
1884,Renato Tapia,79,CDM,316
1885,Alexandr Golovin,79,LM,316
1886,Sérgio Oliveira,79,CM,316
1887,João Mário,79,CM,316
1888,Callum Wilson,79,ST,316
1889,Rafa Mir,79,ST,316
1890,Ismaily,79,LB,316
1891,Ezri Konsa,79,CB,316
1892,Manuel Riemann,79,GK,316
1893,Manuel Lazzari,79,RB,316
1894,Ludovic Blas,79,CAM,316
1895,Nemanja Gudelj,79,CDM,316
1896,Dean Henderson,79,GK,316
1897,Sergio Asenjo,79,GK,316
1898,Alessandro Florenzi,79,RB,316
1899,Danny Ings,79,ST,316
1900,Adam Marušić,79,LB,316
1901,Agustín Marchesín,79,GK,316
1902,Clinton Mata,79,RB,316
1903,Gonzalo Montiel,79,RB,316
1904,Lucas Veríssimo,79,CB,316
1905,Jonathan David,79,ST,316
1906,Guaita,79,GK,316
1907,Matty Cash,79,RB,316
1908,Davinson Sánchez,79,CB,316
1909,Nemanja Maksimović,79,CM,316
1910,Karim Bellarabi,79,RM,316
1911,Denis Suárez,79,CM,316
1912,Munir,79,LW,316
1913,Marco Silvestri,79,GK,316
1914,Ludovic Ajorque,79,ST,316
1915,Oleksandr Zinchenko,79,LB,316
1916,Marcão,79,CB,316
1917,Conor Coady,79,CB,316
1918,Davide Zappacosta,79,LWB,316
1919,Matheus,79,GK,316
1920,Min Jae Kim,79,CB,316
1921,Jonas Omlin,79,GK,316
1922,Fernando Muslera,79,GK,316
1923,Ben White,79,CB,316
1924,Zubimendi,79,CM,316
1925,Ali Musrati,79,CDM,316
1926,Nicolas Pépé,79,RM,316
1927,Tyrell Malacia,79,LB,316
1928,Steve Mandanda,79,GK,316
1929,Onuachu,79,ST,316
1930,Luís Maximiano,79,GK,316
1931,Samuel Chukwueze,79,RM,316
1932,Wout Weghorst,79,ST,316
1933,Beto,79,ST,316
1934,Boulaye Dia,79,ST,316
1935,Manu Trigueros,79,CM,316
1936,Reinildo,79,LB,316
1937,James Tarkowski,79,CB,316
1938,Fran Beltrán,79,CDM,316
1939,Franco Armani,79,GK,316
1940,Agustín Rossi,79,GK,316
1941,Rubén García,79,LM,316
1942,Dakonam Djené,79,CB,316
1943,Michael Keane,79,CB,316
1944,Granit Xhaka,79,CDM,316
1945,Leandro Trossard,79,LM,316
1946,Matz Sels,79,GK,316
1947,Pedro,79,LW,316
1948,Luiz Felipe,79,CB,316
1949,David García,79,CB,316
1950,Diego López,79,GK,316
1951,Suso,79,RW,316
1952,Rachid Ghezzal,79,RW,316
1953,Berat Djimsiti,79,CB,316
1954,Anthony Modeste,79,ST,316
1955,Benjamin Pavard,79,RB,316
1956,Giacomo Raspadori,79,CF,316
1957,Joaquín,79,RM,316
1958,Lewis Dunk,79,CB,316
1959,Nemanja Matić,79,CDM,316
1960,Axel Witsel,79,CDM,316
1961,Ibañez,79,CB,316
1962,Pervis Estupiñán,79,LB,316
1963,Héctor Bellerín,79,RB,316
1964,Diogo Costa,79,GK,316
1965,Juanmi,79,LM,316
1966,Juan Foyth,79,RB,316
1967,Manuel Lanzini,79,CAM,316
1968,Gianluigi Buffon,79,GK,316
1969,Takehiro Tomiyasu,79,RB,316
1970,Angelo Ogbonna,79,CB,316
1971,Jonny Evans,79,CB,316
1972,Unai Núñez,79,CB,316
1973,Marcos Alonso Mendoza,79,LWB,316
1974,Gerson Rodrigues Gouveia,79,ST,316
1975,Dino Hotic,79,CF,316
1976,Moustapha Zeghba,79,GK,316
1977,Magnus Wolff Eikrem,79,CF,316
1978,Mario González,79,ST,316
1979,Youssouf Ndayishimiye,79,CB,316
1980,James Forrest,79,RW,316
1981,Romain Del Castillo,79,RW,316
1982,Guido Burgstaller,79,ST,316
1983,Ola Toivonen,79,ST,316
1984,Josué,79,CAM,316
1985,Jorge Sánchez,79,RB,316
1986,Pape Gueye,79,CDM,316
1987,Sam Johnstone,79,GK,316
1988,Jan Bednarek,79,CB,316
1989,Junior Sornoza,79,CAM,316
1990,Luka Ivanušec,79,CAM,316
1991,Jens Stryger Larsen,79,RB,316
1992,Rogic,79,CM,316
1993,Craig Goodwin,79,LM,316
1994,Aaron Ramsey,79,CM,316
1995,Connor Roberts,79,RB,316
1996,Hidemasa Morita,79,CM,316
1997,Andreas Skov Olsen,79,RM,316
1998,Fuller,79,RB,316
1999,Ayew,79,ST,316
2000,Funes Mori,79,ST,316
2001,Naïm Sliti,79,LM,316
2002,Thilo Kehrer,79,CB,316
2003,Nicolás Domínguez,79,CM,316
2004,Castillo,79,RB,316
2005,Stephen Eustáquio,79,CDM,316
2006,Salman Al Faraj,79,CM,316
2007,Romo,79,CM,316
2008,Leandro Cabrera,79,CB,316
2009,Borges,79,CDM,316
2010,Léo Dubois,79,RB,316
2011,Orel Mangala,79,CM,316
2012,Walker Zimmerman,79,CB,316
2013,Adam Buksa,79,ST,316
2014,Sofyan Amrabat,79,CDM,316
2015,Dedryck Boyata,79,CB,316
2016,Wahbi Khazri,79,CF,316
2017,Brennan Johnson,79,RW,316
2018,Eric Maxim Choupo-Moting,79,ST,316
2019,Tarik Tissoudali,79,CF,316
2020,Jesper Lindstrøm,79,CAM,316
2021,Jordan Ayew,79,RW,316
2022,Haris Seferovic,79,ST,316
2023,Martín,79,ST,316
2024,Jeffrey Schlupp,79,LM,316
2025,Shoya Nakajima,79,CAM,316
2026,Krzysztof Piatek,79,ST,316
2027,Nagatomo,79,LB,316
2028,Divock Origi,79,ST,316
2029,Harry Wilson,79,RM,316
2030,Mohammed Kudus,79,CAM,316
2031,Przemysław Frankowski,79,LWB,316
2032,Nehuén Pérez,79,CB,316
2033,Léandre Tawamba,79,ST,316
2034,Xherdan Shaqiri,79,CAM,316
2035,Frederik Rønnow,79,GK,316
2036,Luís Carlos Novo Neto,79,CB,316
2037,Andrada,79,GK,316
2038,Gonçalo Matias Ramos,79,ST,316
2039,Vincent Aboubakar,79,ST,316
2040,Łukasz Skorupski,79,GK,316
2041,Jérémy Doku,79,RW,316
2042,Damián Díaz,79,CAM,316
2043,Diego Llorente,79,CB,316
2044,Thomas Foket,79,RB,316
2045,Enner Valencia,79,ST,316
2046,Sakai,79,RB,316
2047,Noah Okafor,79,ST,316
2048,Torres,79,CB,316
2049,Cota,79,GK,316
2050,Kristijan Jakić,79,CDM,316
2051,Fayçal Fajr,79,CM,316
2052,Kim,79,ST,316
2053,Steven Zuber,79,LW,316
2054,Sebastián Sosa,79,GK,316
2055,Joakim Mæhle,79,RWB,316
2056,Gorriarán,79,CM,316
2057,Ante Budimir,79,ST,316
2058,Ivan Ilić,79,CM,316
2059,Josip Juranović,79,RB,316
2060,Orbelín Pineda,79,LM,316
2061,Rodríguez,79,CAM,316
2062,Yvon Mvogo,79,GK,316
2063,Lovre Kalinić,79,GK,316
2064,Afif,79,LW,316
2065,Josip Šutalo,79,CB,316
2066,Córdova,79,CM,316
2067,Tyler Adams,79,CDM,316
2068,Brandon Mechele,79,CB,316
2069,Karim Adeyemi,79,ST,316
2070,Gallardo,79,LB,316
2071,Mikkel Damsgaard,79,LM,316
2072,Ruben Vargas,79,LM,316
2073,Facundo Medina,79,CB,316
2074,Diego Rossi,79,LM,316
2075,Youssouf Sabaly,79,RB,316
2076,Bartłomiej Drągowski,79,GK,316
2077,Tiago Djaló,79,CB,316
2078,Michel Aebischer,79,CM,316
2079,Kyogo Furuhashi,79,ST,316
2080,Paweł Dawidowicz,79,CB,316
2081,Cristian Roldan,79,RM,316
2082,Matias Viña,79,LWB,316
2083,Sassi,79,CM,316
2084,Domagoj Vida,79,CB,316
2085,Érick Gutiérrez,79,CM,316
2086,Martin Braithwaite,79,ST,316
2087,López,79,ST,316
2088,Martínez Quarta,79,CB,316
2089,Danny Ward,79,GK,316
2090,Bruno Petković,79,ST,316
2091,Marko Grujić,79,CM,316
2092,Victor Nelsson,79,CB,316
2093,Renato Steffen,79,LM,316
2094,Albert Sambi Lokonga,79,CM,316
2095,Jannik Vestergaard,79,CB,316
2096,Hwang,79,ST,316
2097,Kamaldeen Sulemana,79,LW,316
2098,Eric García Martret,79,CB,316
2099,Filip Đuričić,79,CAM,316
2100,Antuna,79,RM,316
2101,Ko Itakura,79,CB,316
2102,Nacer Chadli,79,LM,316
2103,Soufiane Rahimi,79,LM,316
2104,Taarabt,79,CM,316
2105,Michael Ngadeu,79,CB,316
2106,Benoît Costil,79,GK,316
2107,Jawad El Yamiq,79,CB,316
2108,Araújo,79,CB,316
2109,Leander Dendoncker,79,CM,316
2110,Uroš Racic,79,CM,316
2111,Szymon Żurkowski,79,CM,316
2112,Daniel Amartey,79,CB,316
2113,Anders Christiansen,79,CM,316
2114,Santiago Giménez,79,ST,316
2115,Cédric,79,RB,316
2116,Guus Til,79,CAM,316
2117,Iddrisu Baba,79,CDM,316
2118,Cissé,79,CB,316
2119,Moreno,79,CB,316
2120,Jonas Wind,79,ST,316
2121,Jordan Lotomba,79,RB,316
2122,Sebastiaan Bornauw,79,CB,316
2123,Óscar Duarte,79,CB,316
2124,Gonda,79,GK,316
2125,Arthur Theate,79,CB,316
2126,Takumi Minamino,79,CF,316
2127,Alexis Mac Allister,79,CAM,316
2128,Daniel-Kofi Kyereh,79,CAM,316
2129,Aaron Mooy,79,CM,316
2130,Trincão,79,RW,316
2131,Christian Nørgaard,79,CDM,316
2132,Jae Sung Lee,79,CM,316
2133,Andreas Cornelius,79,ST,316
2134,Jamie Maclaren,79,ST,316
2135,Christian Fassnacht,79,RM,316
2136,Ron-Robert Zieler,79,GK,316
2137,Zian Flemming,79,CAM,316
2138,Piero Hincapié,78,LB,312
2139,Pierre Kalulu,78,CB,312
2140,Moise Kean,78,ST,312
2141,Gabriel Martinelli,78,LM,312
2142,Odriozola,78,RB,312
2143,Marcel Halstenberg,78,CB,312
2144,Amadou Haidara,78,CM,312
2145,Mohamed Simakan,78,CB,312
2146,Lukas Nmecha,78,ST,312
2147,Jesper Karlsson,78,LW,312
2148,Saša Kalajdžić,78,ST,312
2149,Daniel Podence,78,LW,312
2150,Pedro Neto,78,LW,312
2151,Konstantinos Mavropanos,78,CB,312
2152,Wataru Endo,78,CM,312
2153,Borna Sosa,78,LB,312
2154,Mario Gaspar,78,RB,312
2155,Romain Faivre,78,RM,312
2156,Toko Ekambi,78,LM,312
2157,Gerson,78,CM,312
2158,Valentin Rongier,78,CM,312
2159,Joey Veerman,78,CM,312
2160,Gernot Trauner,78,CB,312
2161,Lars Unnerstall,78,GK,312
2162,Ramy Bensebaini,78,LB,312
2163,Marcus Thuram,78,ST,312
2164,Alassane Plea,78,CF,312
2165,Giacomo Bonaventura,78,CM,312
2166,Jonathan Ikoné,78,RW,312
2167,Pierluigi Gollini,78,GK,312
2168,Nicolás De la Cruz,78,CM,312
2169,Julián Álvarez,78,ST,312
2170,Maxwel Cornet,78,LM,312
2171,Zubeldia,78,CB,312
2172,Junya Ito,78,RW,312
2173,Enzo Fernández,78,CM,312
2174,Nuno Santos,78,LW,312
2175,De Ketelaere,78,ST,312
2176,Alexis Saelemaekers,78,RW,312
2177,Tomáš Holeš,78,CDM,312
2178,Nathan Aké,78,CB,312
2179,Roberto Pereyra,78,CM,312
2180,Mats Rits,78,CDM,312
2181,Portu,78,RM,312
2182,Noa Lang,78,LW,312
2183,James Tavernier,78,RB,312
2184,Fredrik Aursnes,78,CDM,312
2185,Danilo D'Ambrosio,78,CB,312
2186,Borré,78,ST,312
2187,Fernando,78,CDM,312
2188,Eljif Elmas,78,CAM,312
2189,Exequiel Palacios,78,CDM,312
2190,Marcos Rojo,78,CB,312
2191,Andrei Girotto,78,CB,312
2192,Ollie Watkins,78,ST,312
2193,Campaña,78,CM,312
2194,Enzo Pérez,78,CDM,312
2195,Puado,78,LM,312
2196,Moussa Niakhaté,78,CB,312
2197,André Carrillo,78,RW,312
2198,Sidnei,78,CB,312
2199,Alexander Bah,78,RB,312
2200,Pedraza,78,LB,312
2201,Claudio Bravo,78,GK,312
2202,Junior Messias,78,RW,312
2203,Patrick Bamford,78,ST,312
2204,Faraoni,78,RWB,312
2205,Douglas Luiz,78,CDM,312
2206,Thomas Meunier,78,RB,312
2207,Tyrone Mings,78,CB,312
