id,name,stat,position,price
18040,Kunyue Ma,49,GK,98
18041,Jack Lemoignan,49,GK,98
18042,Yongjun Wen,49,CM,98
18043,Givson Singh,49,CM,98
18044,Nikhil Prabhu,49,CB,98
18045,Osvaldo Cisneros,49,CAM,98
18046,Sam O'Brien,49,CB,98
18047,Peter Maguire,49,CB,98
18048,Xuelong Sun,49,CM,98
18049,Orrin McLaughlin,49,CM,98
18050,Ahmad Taleb,49,GK,98
18051,Darren Yapi,49,ST,98
18052,Sabit Abdusalam,49,CM,98
18053,Jake Davis,49,CM,98
18054,Hrithik Tiwari,49,GK,98
18055,Danstan Fernandes,49,CAM,98
18056,Sharon Padattil,49,GK,98
18057,Damaitphang Lyngdoh,49,CAM,98
18058,Yixuan Yang,49,RM,98
18059,Runnan Liu,49,CB,98
18060,Jiajun Liao,49,RB,98
18061,Likai Wan,49,LB,98
18062,Shijie Wang,49,RM,98
18063,Huajun Zhang,49,LM,98
18064,Kangkang Ren,49,RM,98
18065,Da Li,49,LB,98
18066,Mingcan Hua,49,RM,98
18067,Lei Liao,49,LB,98
18068,Haofan Liu,49,CB,98
18069,Yalun Li,49,ST,98
18070,Eysajan Kurban,49,LW,98
18071,Chao'ao Zhang,49,CB,98
18072,Sean Jones-Carey,49,RWB,98
18073,Yue Xu,49,CM,98
18074,Yanpu Chen,49,RM,98
18075,Liang Huo,49,RB,98
18076,Wei Liao,48,RM,96
18077,Yunqi Guo,48,CM,96
18078,Lalbiakhlua Jongte,48,GK,96
18079,Muheet Shabir Khan,48,GK,96
18080,Engson Singh,48,CAM,96
18081,Namgyal Bhutia,48,RB,96
18082,Xiang Gao,48,GK,96
18083,Huanhuan Shan,48,ST,96
18084,Lalawmpuia Ralte,48,ST,96
18085,Sweden Fernandes,48,RW,96
18086,Vishal Yadav,48,GK,96
18087,Harmanpreet Singh,48,ST,96
18088,Zhixuan Du,48,CM,96
18089,Keqiang Chen,48,CM,96
18090,Yunhua Chen,48,CM,96
18091,Xintao Song,48,CM,96
18092,Junxian Liu,48,ST,96
18093,Haoyang Bi,48,LB,96
18094,Peinan Li,48,CB,96
18095,Wenzhe Zhao,48,CB,96
18096,Xiongtao Deng,48,GK,96
18097,Zeyuan Feng,48,ST,96
18098,Hao Ning,48,ST,96
18099,Jacen Russell-Rowe,48,ST,96
18100,Andre? Brînzea,48,GK,96
18101,Tomas Giraldo,48,CM,96
18102,Xinjie He,48,CM,96
18103,Darren Collins,47,ST,94
18104,Sandip Mandi,47,LB,94
18105,Nabin Rabha,47,LB,94
18106,Chengru Wu,47,ST,94
18107,Conan Noonan,47,ST,94
18108,Dejiang Yang,47,CDM,94
18109,Emanuel Lalchhanchhuaha,47,CAM,94
18110,Subhadip Majhi,47,CM,94
18111,Ziyang Pi,47,CM,94
18112,Junye Zhang,47,LM,94
18113,Julio Benitez,47,CM,94
18114,Asif Khan,46,CAM,92
18115,Singh,46,RM,92
18116,Nathan Logue,46,CM,92
18117,Devansh Dabas,46,GK,92
18118,Biswa Darjee,46,CM,92
18119,Antonio D'Silva,46,GK,92
18120,Jiahui Zhang,46,CM,92
